"symbol","logFC","P.Value","chr","description"
"Gm28040",4.09555597677794,0,"1","predicted gene, 28040"
"Tac2",2.35554608368998,0,"10","tachykinin 2"
"Greb1",-1.43473695915532,0,"12","gene regulated by estrogen in breast cancer protein"
"Tbr1",-1.35804017407535,0.028,"2","T-box brain transcription factor 1"
"Spp1",-1.11698290364207,0.028,"5","secreted phosphoprotein 1"
"Egr1",0.902327544422583,0,"18","early growth response 1"
"Meis2",-0.85948643097093,0.028,"2","Meis homeobox 2"
"Esr1",0.779939744935306,0,"10","estrogen receptor 1 (alpha)"
"Tnxb",-0.710834451412184,0,"17","tenascin XB"
"Igf1",-0.690356837794297,0.028,"10","insulin-like growth factor 1"
"Six6",0.663488360758626,0.028,"12","sine oculis-related homeobox 6"
"Epha3",-0.633928417301284,0.032,"16","Eph receptor A3"
"Arhgap28",-0.618688391180509,0.032,"17","Rho GTPase activating protein 28"
"Slitrk6",-0.599889621612733,0,"14","SLIT and NTRK-like family, member 6"
"Lamc3",-0.595906747611126,0.032,"2","laminin gamma 3"
"Agrp",0.580567583366255,0,"8","agouti related neuropeptide"
"Fos",0.541756814988368,0,"12","FBJ osteosarcoma oncogene"
"Hmgcs2",-0.505984413837453,0.027,"3","3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2"
"Itpr3",-0.500937267671425,0.032,"17","inositol 1,4,5-triphosphate receptor 3"
"Vipr2",0.487936701140293,0,"12","vasoactive intestinal peptide receptor 2"
"Svep1",-0.467621219435684,0.032,"4","sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"
"Foxj1",0.465564438779449,0.034,"11","forkhead box J1"
"Syndig1l",-0.455302132703918,0,"12","synapse differentiation inducing 1 like"
"Mylip",-0.451765808237959,0,"13","myosin regulatory light chain interacting protein"
"Prkcd",-0.437666952905175,0,"14","protein kinase C, delta"
"Gm3095",-0.42199506456695,0.034,"14","predicted gene 3095"
"Pgr",-0.416499230526382,0,"9","progesterone receptor"
"Foxp2",-0.412803994141038,0.028,"6","forkhead box P2"
"Reg3b",0.41255792772278,0.0325,"6","regenerating islet-derived 3 beta"
"Capsl",0.412475171850662,0,"15","calcyphosine-like"
"Sv2c",-0.407788036772441,0,"13","synaptic vesicle glycoprotein 2c"
"Rsph1",0.401530654253942,0,"17","radial spoke head 1 homolog (Chlamydomonas)"
"Col24a1",-0.396092464682965,0,"3","collagen, type XXIV, alpha 1"
"Zfp433",-0.391667922494546,0.0295,"10","zinc finger protein 433"
"Rnf138rt1",0.387865879692564,0,"X","ring finger protein 138, retrogene 1"
"Lrrc46",0.384283695264815,0,"11","leucine rich repeat containing 46"
"Cfap52",0.377142283996101,0.028,"11","cilia and flagella associated protein 52"
"Npy1r",-0.370258380836832,0.032,"8","neuropeptide Y receptor Y1"
"Cdon",-0.3659981349338,0.032,"9","cell adhesion molecule-related/down-regulated by oncogenes"
"Bbox1",0.364634718034353,0,"2","butyrobetaine (gamma), 2-oxoglutarate dioxygenase 1 (gamma-butyrobetaine hydroxylase)"
"Dapp1",0.362677354532777,0.028,"3","dual adaptor for phosphotyrosine and 3-phosphoinositides 1"
"Syt6",-0.360430087797584,0,"3","synaptotagmin VI"
"Tfcp2l1",-0.356301647577624,0.032,"1","transcription factor CP2-like 1"
"Sst",0.354208912402148,0,"16","somatostatin"
"Chsy3",-0.350624662217977,0,"18","chondroitin sulfate synthase 3"
"Lrp1b",-0.348016796079063,0,"2","low density lipoprotein-related protein 1B"
"Shroom4",-0.345078024339587,0.032,"X","shroom family member 4"
"Lrrc10b",0.344178283959028,0,"19","leucine rich repeat containing 10B"
"Myc",-0.341047945728925,0,"15","myelocytomatosis oncogene"
"Dll3",-0.337807108891597,0,"7","delta like canonical Notch ligand 3"
